model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
B_x,case_ii_edge,20.0,1.0,period_nm+,1.439394e-06,-1.514501e-04
B_x,case_ii_edge,20.0,1.0,period_nm-,-9.311220e-04,-6.198683e-05
B_z,case_i_center,5.0,0.5,baseline,-7.135845e-05,4.424023e-03
B_z,case_i_center,5.0,0.5,depth_nm+,-9.490988e-03,-1.536943e-02
B_z,case_i_center,5.0,0.5,depth_nm-,3.556255e-06,-2.111282e-05
B_z,case_i_center,5.0,0.5,half_x_nm+,9.838188e-03,-4.939399e-03
B_z,case_i_center,5.0,0.5,half_x_nm-,-8.756473e-03,2.708914e-01
B_z,case_i_center,5.0,0.5,half_z_nm+,9.198592e-05,-2.200652e-03
B_z,case_i_center,5.0,0.5,half_z_nm-,-2.231277e-03,-4.917914e-03
B_z,case_i_center,5.0,0.5,period_nm+,-4.381632e-05,-1.409852e-02
B_z,case_i_center,5.0,0.5,period_nm-,8.894320e-05,-3.440514e-05
B_z,case_i_center,5.0,1.0,baseline,8.944876e-05,3.377669e-03
B_z,case_i_center,5.0,1.0,depth_nm+,-3.374286e-02,-1.020795e-01
B_z,case_i_center,5.0,1.0,depth_nm-,6.573203e-06,7.073668e-05
B_z,case_i_center,5.0,1.0,half_x_nm+,6.811271e-02,-1.961718e-02
B_z,case_i_center,5.0,1.0,half_x_nm-,-6.437344e-02,1.680251e-01
B_z,case_i_center,5.0,1.0,half_z_nm+,2.194685e-03,6.030385e-03
B_z,case_i_center,5.0,1.0,half_z_nm-,-1.487574e-02,-5.816123e-03
B_z,case_i_center,5.0,1.0,period_nm+,-7.487898e-05,-5.638212e-02
B_z,case_i_center,5.0,1.0,period_nm-,6.063066e-04,7.584777e-05
B_z,case_i_center,20.0,0.5,baseline,-1.368423e-04,-2.705077e-04
B_z,case_i_center,20.0,0.5,depth_nm+,3.688354e-04,-1.304912e-05
B_z,case_i_center,20.0,0.5,depth_nm-,1.372719e-07,6.123350e-05
B_z,case_i_center,20.0,0.5,half_x_nm+,-5.883525e-05,-4.698631e-03
B_z,case_i_center,20.0,0.5,half_x_nm-,4.333866e-05,-1.121535e-03
B_z,case_i_center,20.0,0.5,half_z_nm+,8.737869e-05,-3.376291e-02
B_z,case_i_center,20.0,0.5,half_z_nm-,-1.001954e-06,-1.507786e-04
B_z,case_i_center,20.0,0.5,period_nm+,-7.184219e-05,-1.626182e-05
B_z,case_i_center,20.0,0.5,period_nm-,-1.247526e-04,-1.119149e-04
B_z,case_i_center,20.0,1.0,baseline,-1.207334e-03,-6.232418e-04
B_z,case_i_center,20.0,1.0,depth_nm+,1.888333e-03,6.004939e-06
B_z,case_i_center,20.0,1.0,depth_nm-,-7.387548e-05,6.774851e-05
