ansatz,block,case,v_m_per_s,lambda_ueV,geometry,dP_v,dchi_phi
B_z,1,case_i_center,20.0,1.0,half_z_nm-,-9.36399615473621e-05,1.93048990063629e-06
B_z,1,case_i_center,20.0,1.0,period_nm+,-6.38965796440627e-05,6.275036552181258e-06
B_z,1,case_i_center,20.0,1.0,period_nm-,-0.00010580629791601126,-3.3685171325044334e-06
A,1,case_ii_edge,5.0,0.5,baseline,0.005024796742693738,0.0166415802302243
A,1,case_ii_edge,5.0,0.5,depth_nm+,-0.0032211521028122914,-0.0005760742197448154
A,1,case_ii_edge,5.0,0.5,depth_nm-,0.00017263764840325102,-0.004798320588819606
A,1,case_ii_edge,5.0,0.5,half_x_nm+,0.004246692445391727,0.010401483423638086
A,1,case_ii_edge,5.0,0.5,half_x_nm-,-0.0006130628551314354,0.004859040953070076
A,1,case_ii_edge,5.0,0.5,half_z_nm+,0.005164273981144614,0.013961476667623318
A,1,case_ii_edge,5.0,0.5,half_z_nm-,0.0010055016202868278,-0.0011404421532005687
A,1,case_ii_edge,5.0,0.5,period_nm+,0.0015687040519191398,-0.006214477957358772
A,1,case_ii_edge,5.0,0.5,period_nm-,-0.0006271283171037784,9.146342827251919e-05
A,1,case_ii_edge,5.0,1.0,baseline,0.007409819570808551,0.050431932210017294
A,1,case_ii_edge,5.0,1.0,depth_nm+,0.009646885091044777,0.10667407036076104
A,1,case_ii_edge,5.0,1.0,depth_nm-,-0.00427167260236927,-0.03759382832430631
A,1,case_ii_edge,5.0,1.0,half_x_nm+,-0.00016449883280775235,-0.00014206452143322723
A,1,case_ii_edge,5.0,1.0,half_x_nm-,0.005921010493932427,0.04946795308728916
A,1,case_ii_edge,5.0,1.0,half_z_nm+,-0.000974884345394389,0.010836099941348265
A,1,case_ii_edge,5.0,1.0,half_z_nm-,-0.003572727920643004,-0.034774234279063274
A,1,case_ii_edge,5.0,1.0,period_nm+,-0.011402836038287512,-0.061263808160514785
A,1,case_ii_edge,5.0,1.0,period_nm-,0.002260270439685075,0.0028604139509805894
A,1,case_ii_edge,10.0,0.5,baseline,0.0002886426474757245,-0.0015962518240996981
A,1,case_ii_edge,10.0,0.5,depth_nm+,-0.0011615400334380188,-0.006716847132447162
A,1,case_ii_edge,10.0,0.5,depth_nm-,-0.0005948652366897789,-0.00034239257439888995
A,1,case_ii_edge,10.0,0.5,half_x_nm+,-0.0008385962713250497,0.0010669654848493373
A,1,case_ii_edge,10.0,0.5,half_x_nm-,0.00026767139364669915,0.0021342899598673984
A,1,case_ii_edge,10.0,0.5,half_z_nm+,0.0007273343359082141,-0.0009308299074372584
A,1,case_ii_edge,10.0,0.5,half_z_nm-,0.0005999547825527793,0.00024907068741778296
A,1,case_ii_edge,10.0,0.5,period_nm+,0.001380028992290394,0.0006933463836247301
A,1,case_ii_edge,10.0,0.5,period_nm-,0.00011702801178222616,1.5188152029667085e-05
A,1,case_ii_edge,10.0,1.0,baseline,0.0017716421811916627,-0.0027017699340840737
A,1,case_ii_edge,10.0,1.0,depth_nm+,-0.0033292771265805154,-0.03264602666612093
A,1,case_ii_edge,10.0,1.0,depth_nm-,-0.002100681903771273,-0.0027055884596313487
A,1,case_ii_edge,10.0,1.0,half_x_nm+,-0.0033404712910815038,0.0016744652267361437
A,1,case_ii_edge,10.0,1.0,half_x_nm-,0.00047588604415489677,0.008912741093036018
A,1,case_ii_edge,10.0,1.0,half_z_nm+,0.0032576914811325297,0.0027414941717620184
A,1,case_ii_edge,10.0,1.0,half_z_nm-,0.002262278880822005,0.0040179249980967086
A,1,case_ii_edge,10.0,1.0,period_nm+,0.0050510197870553275,0.008004798725681512
A,1,case_ii_edge,10.0,1.0,period_nm-,0.00011718563828724826,0.00022680933533902138
A,1,case_ii_edge,20.0,0.5,baseline,-4.1822839304747617e-05,-0.00040897039246143817
A,1,case_ii_edge,20.0,0.5,depth_nm+,-7.11927293523193e-05,-0.0006525272932573767
A,1,case_ii_edge,20.0,0.5,depth_nm-,3.696206445666719e-05,-4.2194025887588686e-05
A,1,case_ii_edge,20.0,0.5,half_x_nm+,5.050616323430679e-05,3.159990527376935e-05
A,1,case_ii_edge,20.0,0.5,half_x_nm-,-0.00010495912114877326,-0.00016297831180578717
A,1,case_ii_edge,20.0,0.5,half_z_nm+,-0.00015901670280055874,-0.0005895620182075068
A,1,case_ii_edge,20.0,0.5,half_z_nm-,-7.547928335834009e-05,-0.0002472538199487836
A,1,case_ii_edge,20.0,0.5,period_nm+,-0.00015601430470379984,-0.00035114378470398836
A,1,case_ii_edge,20.0,0.5,period_nm-,-4.091171385646464e-05,-1.816812415467364e-07
A,1,case_ii_edge,20.0,1.0,baseline,-0.0002767787497719304,-0.0017296189814675466
A,1,case_ii_edge,20.0,1.0,depth_nm+,-0.0004574827762334893,-0.0028598415887560527
A,1,case_ii_edge,20.0,1.0,depth_nm-,-9.201781720068192e-05,-0.00020553468372341756
A,1,case_ii_edge,20.0,1.0,half_x_nm+,-0.00015189437454349308,7.680612077126323e-05
A,1,case_ii_edge,20.0,1.0,half_x_nm-,-8.539677012432689e-05,-0.0005683373845461696
A,1,case_ii_edge,20.0,1.0,half_z_nm+,-0.0004628308398815506,-0.0024975110228838727
A,1,case_ii_edge,20.0,1.0,half_z_nm-,-0.00019690283508819184,-0.0010097435914637968
A,1,case_ii_edge,20.0,1.0,period_nm+,-0.0005058817578805774,-0.0014476702143823138
A,1,case_ii_edge,20.0,1.0,period_nm-,-3.1729525773085965e-05,9.923030990752387e-07
A_pocket,1,case_ii_edge,5.0,0.5,baseline,0.0009243088131096837,0.003142082624416759
A_pocket,1,case_ii_edge,5.0,0.5,depth_nm+,-0.000695948691374933,-0.000455606408209297
A_pocket,1,case_ii_edge,5.0,0.5,depth_nm-,9.451158961666303e-05,-0.0006560119657022523
A_pocket,1,case_ii_edge,5.0,0.5,half_x_nm+,0.0008107740762555186,0.002000988605712184
A_pocket,1,case_ii_edge,5.0,0.5,half_x_nm-,-0.00014693011023237008,0.0006971639097667348
A_pocket,1,case_ii_edge,5.0,0.5,half_z_nm+,0.001030870262696314,0.0027966914622582495
A_pocket,1,case_ii_edge,5.0,0.5,half_z_nm-,0.0002429436801871781,3.9718136919400515e-05
A_pocket,1,case_ii_edge,5.0,0.5,period_nm+,0.0004901025673476854,-0.0005119302397076364
A_pocket,1,case_ii_edge,5.0,0.5,period_nm-,-0.00013999304005559744,7.198361976248598e-06
